Start time (ms after ~1:02)	Start time (ms after ~1:02)	Raw transcription	Corrected transcription
1024240	1031200	active the cycleway improves safety for vulnerable road users by being separated it therefore	
1031200	1037920	encourages the 48 interested but concerned people to take up bike riding road paint will never	
1037920	1047120	achieve this outcome um heath street's safe convenient direct it's attractive to use uh this	
1047120	1052960	is why after only four months the strava bike count is pretty high that was something ralph	
1052960	1060800	mentioned encouraging active transport to reduce congestion reach net zero and improve our health	
1060800	1067440	is why the heath street cycleway was built it's why we've got active transport plans sustainability	
1067440	1076080	future proofing etc okay yeah i won't be long stick to history yep yep this is heath street	
1076080	1083440	it's related because on the basis of those plans canada bay council demonstrated its commitment to	
1083440	1088800	active transport sustainability net zero and received seven million dollars new south wales	
1088800	1095360	government funding in good faith in good faith the last traffic committee minutes noted that	
1095360	1101840	heath street remains the most appropriate and strategic cycleway route along the paramounted	
1101840	1108320	to cbd corridor that's why it got the funding the last minutes also noted transport for new south	
1108320	1114160	wales has offered to review and improve the concept design as have bicycle new south wales	
1114160	1121440	as has canada bay bugs okay i'm almost finished we disagree however with the previous minutes	
1121440	1129200	noting that the removal of the cycleway will incur no additional cost okay firstly on two points	
1129200	1136320	canada bay is likely to be asked by transport for new south wales to refund the portion or all of	
1136320	1143440	the destroyed infrastructure spent secondly destruction of stage one risks the integrity	
1143440	1150400	of the whole seven million dollar project in all its six stages the other financial implication is	
1150400	1156640	that canada bay will be reviewed as an unreliable business partner for the many future transport	
1156640	1163280	for new south wales active transport projects in the pipeline this cycleway is only four months old	
1163280	1170560	and already doing so well so it lets everybody take a deep breath yeah just as it takes time to	
1170560	1178400	create something so it creates it takes a bit of time to destroy it time is your friend canada bay	
1178400	1184960	council time is your friend both sides agree this is where both sides agree consultation wasn't	
1184960	1192240	done right yeah okay so let's use the time wisely before you just rip it out because you might get	
1192240	1198080	it wrong you never know it is best practice on projects like this to bring the community	
1198080	1203760	on board through a process of co-design whereby stakeholders learn about the many benefits	
1204480	1211600	they get to air their concerns and get to shape the outcome it's advisable to consult with experts	
1211600	1219840	on co-design to ensure success because that runs on the board i have outlined some of the reputational	
1219840	1226640	and financial costs of trashing great infrastructure such as the heath street cycleway another cost is	
1227280	1234400	is that canada bay will gain a reputation of being a walkover among the anti-cycleway lobby	
1234400	1240000	making active transport projects that much harder to deliver you're creating a rod for your own back	
1240000	1246960	by making this decision so take some time think it through finally let's remember public roads	
1246960	1252160	are public roads and not the private property of residents who happen to live along them	
1252160	1271040	they are for the benefit of all road users	
1282160	1298720	um so again um a bit disappointed on you know bicycle new south wales taking that approach	
1298720	1312480	about canada bay mike bottle please uh president of baybug thank you	
1314080	1318240	good evening sir mayor councillors ladies and gentlemen thank you for the opportunity	
1318960	1325840	um as president of baybug i'm the elected representative our local area um bicycle users	
1325840	1330480	these are bicycle users of all ages their children cycling to school and local parks	
1330480	1337520	in mothers and fathers often with toddler seats attached and they're some of our senior citizens	
1337520	1342800	possibly with the electrical assistance to their bikes to help their mobility their commuters	
1342800	1349360	and their leisure riders many if not most of these bicycle users do not feel safe riding on our	
1349360	1355760	public roads i can say this with confidence because i'm in my role as president over the last five	
1355760	1361280	years i've met over 100 members who often express these concerns not only for themselves but for	
1361280	1368000	their spouses for their children and their parents all bicycle users under the law have the right to	
1368000	1372240	use our public roads we all understand the responsibility of our authorities to provide	
1372240	1377280	a safe road system for our motorists it's time that the same energy and expertise was put into	
1377280	1384800	designing safe access routes for bicycle users the separated cycleway the 200 meter uphill stretch	
1384800	1390720	in heath street provides that safe environment and marks a welcoming beginning to a shift in	
1390720	1396800	design thinking in canada bay and aligns us with progressive councils that have rolled out kilometers	
1396800	1403760	of separated cycleways to remove it and force riders to climb that hill at low speed potentially	
1403760	1410800	with impatient drivers behind them is to create a much more dangerous environment a view that is	
1410800	1416400	supported by transport for new south wales as ministered in the traffic committee meetings	
1417680	1422240	the recommendation by council officers to remove the separated cycleway was driven i believe by	
1422240	1430000	objections from residents of heat street understandable objections given the changes but	
1430000	1433920	and this prompted council to commission an independent report known as the mcclaren report	
1434960	1440080	for a brief period that report was available for viewing on the collaborate canada bay site and in	
1440080	1445520	reading it i failed to see any obvious connection from the data and observations noted to how the	
1445520	1450160	conclusions were reached i was particularly astonished by the summary which states and i	
1450160	1455840	quote the resultant works meaning the construction of the separated cycleway have generally reduced	
1455840	1464320	the safety of all users for all movements along along across and access via heat street end of	
1464320	1468800	quote surely no one could argue that the separated cycleway has reduced the safety	
1469600	1472720	of bicycle users compared to the alternative of riding on the road	
1474320	1482320	i've lived in first avenue some 30 meters from the corner of um heat street for 32 years and as a	
1482320	1486720	resident of first avenue i've welcomed the recent changes that have had significant calming effect	
1487200	1492800	on motor traffic vehicles and namely the speed humps and the raised crossing at heat street	
1493520	1498320	and which i'm sure the locals know like many of the residents of heat street who are claiming	
1498320	1503280	that it's more difficult now to back out of their driveways i too have to use extreme caution when	
1503280	1508720	backing into first avenue from my driveway the new traffic calming devices have improved that	
1508720	1515120	situation their speeds are now noticeably reduced in first avenue this too will surely be the effect	
1515120	1520480	in heat street as motorists become more accustomed to the narrowing and reduce their speed accordingly	
1521440	1527040	council has already acknowledged that speeds have reduced from an average of 48 kilometers an hour	
1527040	1534320	in heat street before the cycleway went in to now 44 kilometers as for the objection that the street	
1534320	1540480	is now too narrow to back into safely and an opinion supported by the mclaren report i ask	
1540480	1545520	by what measure even with the adjusted widths after construction of the separated cycleway the	
1545520	1554000	carriageway curb to curb distance of heat street is between 9.05 and 9.1 meters i've measured this	
1554800	1558960	with the exception of arthur street which is a busy through road i've measured all the other	
1558960	1564960	parallel streets in rod point and found they're all under eight meters more than a meter narrower	
1564960	1572640	than heath street so by what measure is it unsafe for heat street as it now conforms to the suburb	
1572640	1579600	norm in summary i ask that council move to defer the traffic committee recommendation to remove	
1579600	1584800	the cycleway pending a design review offered by transport for new south wales representative on	
1584800	1590160	the traffic committee and council's own traffic studies and the expressed intention to look at	
1590160	1596560	further traffic calming finally i ask all councillors here present to demonstrate their	
1596560	1602320	commitment to creating a safe safer streets for all users and to encourage active transport and a	
1602320	1607680	reduction in reliance on cars thereby reducing emissions by voting against the removal of the	
1607680	1614240	separated cycleway thank you thank you mr potten uh ross i want to ask you to come up yet because	
1614240	1620240	there's another speaker for the bay bugs i'll keep them in line so uh could i have angsirra please	
1621040	1626240	come up and address the council	
1626240	1631600	good evening mr mayor councillors my name is ann schwirb and i'm representing the peninsula's	
1631600	1638800	action group we are community advocate group and we work with council on a range of local concerns	
1638800	1645680	including transport traffic pedestrian safety and safety and safety and safety and safety and safety	
1645680	1652480	and safety and safety and safety and safety and safety and safety and safety and safety and safety	
1652480	1676620	matters here today each council's action group consists of five Agenda 9	
1676620	1681520	if it was approved, will essentially dismember the Council's proposed	
1681520	1688380	corridor of active transport access that feeds directly into our peninsula	
1688380	1694320	communities and on to the farthest reaches of the LGA. The following are	
1694320	1699560	just a few of Council's plans and guidelines that rely on the retention of	
1699560	1705440	the Heath Street cycleway component as part of the overarching active transport	
1705440	1710940	strategy for the whole of the Canada Bay LGA. Document 1 is the City of Canada Bay	
1710940	1717560	Local Planning Strategy 2010-31 and we quote directly from that	
1717560	1724220	document which proposes the delivery of a new regional cycleway that connects	
1724220	1731460	western and eastern parts of the LGA and further the delivery of a	
1731460	1737940	regional bike route that links Sydney City and Sydney Olympic Park across the	
1737940	1744700	Canada Bay LGA. The second document that we refer to is the City of Sydney Canada	
1744700	1750740	Bay Bike Plan 2020 available on Council's website which states to develop in	
1750740	1759260	detail a core spinal cycleway network throughout the Canada Bay LGA and it	
1759260	1766660	goes on to say perhaps most importantly to enable people to cycle safely.	
1766660	1772820	Following the recent completion of the fantastic redevelopment of Concord Oval	
1772820	1780740	the proposed removal of the Heath Street cycleway link would mean many local	
1780740	1787300	families including children wishing to use active transport to attend this	
1787300	1795900	world-class venue would have no way of doing so safely. This brings us to refer	
1795900	1801300	to document 3 on Council's website which is the Concord Oval Precinct Management	
1801300	1807520	Plan which recommends within the document the development of cycleway	
1807520	1814300	connections to Concord Oval. Now there's the matter of the appropriate government	
1814300	1818620	use of government funding. The government funding for local infrastructure	
1818620	1824780	projects are generous gifts that benefit the whole of the Canada Bay community.	
1824780	1831180	These grants assist councils such as ours to achieve its vision for the	
1831180	1835980	amenity of local communities without the need to place additional	
1835980	1842340	financial burdens on local ratepayers. Crucially at this time when Council is	
1842340	1850420	proposing to raise council rates substantially. To now propose to rip up	
1850420	1856860	this frequently used and funded completed infrastructure we believe	
1856860	1862580	would certainly give the government as the President of Baybug has	
1862580	1869500	alluded to it would give the government pause when considering future grants for	
1869500	1877140	our LGA. This is even more important when we are aware that Transport for New South	
1877140	1884540	Wales has very very strenuously opposed the destruction of this infrastructure.	
1884540	1890060	We would now ask that because this proposed action to rip up a brand new	
1890060	1896140	cycleway would this be at ratepayer cost? Is this the most appropriate use of	
1896140	1902300	ratepayer money? The Peninsulas Action Group have serious concerns that if	
1902300	1908380	approved the destruction of in situ infrastructure will create a precedent	
1908380	1913780	alluded to by the President of Bicycle New South Wales that would jeopardize	
1913780	1919380	future delivery of infrastructure programs of work designed to	
1919380	1926500	benefit the whole of Canada Bay Council community. As we've pointed out above the	
1926500	1932380	proposed removal of the Heath Street cycleway link is in direct contradiction	
1932380	1940500	to Council's well documented strategy for active transport for our local	
1940500	1946100	communities and any proposed removal of this link must be considered	
1946100	1952100	holistically and not in isolation due to the ripple effects it could have the	
1952100	1959260	removal could have on the very future of active transport across the LGA. Finally	
1959260	1965220	we would ask that you please please put the safety and amenity of all	
1965220	1971820	constituents front of mind when considering this proposal for destruction	
1971820	1980300	of crucial funded completed and importantly embraced in situ	
1980300	1986060	infrastructure when we ask that you please do not approve this proposal.	
1986060	1988860	Thank you.	
1988860	1999340	Thank you. Next speaker Ross Butler please.	
2004340	2010540	Good evening Mayor and Councillors. Thank you for the opportunity to come here this evening to talk about	
2010540	2016620	Heath Street and Heath Street alone. If John's still here I'd like to just	
2016620	2022940	recognize that I'm probably one of those retirees John. Okay I'm here this evening	
2022940	2028260	and I believe I represent the overwhelming opinion of residents in and	
2028260	2033900	around Heath Street Rod Point to support the 16th of March Council's Local	
2033900	2040020	Traffic Committee meeting recommendation that the separated cycleway in Heath	
2040020	2045240	Street be removed and replaced with a two-way mixed traffic arrangement set	
2045240	2051140	out in the Council's draft design modification proposal on 23rd January 2023.	
2051140	2056220	There seems to be some confusion here tonight about the cycleway going away	
2056220	2059980	from Heath Street. The cycleway is not going away from Heath Street. The cycleway	
2059980	2065460	is going to remain in Heath Street. What is going to be removed is the cycle	
2065460	2072060	pathway and the concrete blocks in the middle of the road. In addition to	
2072060	2076100	be explained I'm requesting that Councillors consider further modifications	
2076100	2081420	that not only respond to residents concerns but are common-sense changes	
2081420	2085740	that make the cycleway more practical and provide workable arrangements to	
2085740	2091100	residents living in and around Heath Street. The routing of the East West	
2091100	2095860	cycleway by Heath Street has been the cause of great concern to residents	
2095860	2101820	living in and around Heath Street. Their concerns have to do with	
2101820	2107740	safety, the well-being of pedestrian cyclists and motorists, social harmony and	
2107740	2114260	resident amenity. There is evidence and many well-formed arguments as to why	
2114260	2119220	Heath Street is an inappropriate choice of a cycleway. It has been demonstrated	
2119220	2123500	that this has resulted from non-existing research, poor planning,	
2123500	2128980	limited implementation and a significant lack of community consultation.	
2128980	2134420	However in the hope that there has been learning from the errors of the past and	
2134420	2140540	in the spirit of goodwill is time to put these events behind us and to	
2140540	2144700	make the most of the circumstances that are before us and to ensure that the	
2144700	2148700	usage of Heath Street and the accompanying infrastructure is best fit	
2148700	2152620	for purpose and that resident concerns are addressed in the most effective and	
2152620	2159740	practical ways. It's been said before residents are the subject matter experts.	
2159740	2165940	That is my neighbors and I in and around Heath Street are cognizant of activities	
2165940	2170340	in in Heath Street and surrounding streets in terms of the uses of the	
2170340	2175620	streets, about traffic movements, about the good and the bad and about how the	
2175620	2182620	overall area functions.	
2193020	2198900	We observe as we go about our daily lives people going for walks, exercising	
2198900	2205060	their dogs, mothers with prams, how many cyclists use a cycleway, traffic at its	
2205060	2209700	heaviest and at its lightest, when and how vehicles have difficulty to navigate	
2209700	2215020	the island refuges, when cars are speeding, when people practice golf or	
2215020	2219380	fly drones in Timberlake Park, what the impact on the area is when Timberlake	
2219380	2223100	Park is in heavy use and when there are other	
2223100	2227700	activities and incidents acceptable or not take place throughout the day and	
2227700	2233820	night. With all due respect to council employees, cyclists and those who live	
2233820	2238100	away from the area, they cannot fully appreciate and comprehend the whole	
2238100	2243980	picture of Heath Street and the surrounding area. Reference to	
2243980	2250780	Google Maps, spot visits or a 30 second cycle traverse through the area	
2250780	2256260	only provides a snapshot and a possible distorted view. Hence the warranted	
2256260	2261340	distress, outrage and sense of disrespect that residents have felt as they were	
2261340	2266060	not appropriately consulted in relation to usage of Heath Street for the cycleway.	
2266060	2272060	For example, it's now become obvious to everybody that those who decide that	
2272060	2277060	Heath Street was an appropriate route for the cycleway had no idea of what	
2277060	2281500	happens in terms of parking and motorist behavior when there is a significant	
2281500	2286860	sporting event in Timberlake Park. If the planners of the cycleway had an inkling	
2286860	2290380	of what occurs at those times, Heath Street would have been immediately	
2290380	2296620	ruled out. Councillors De Pasquay, Little and Megner all have witnessed the chaos	
2296620	2301420	to which I'm referring along with the new director, some of his staff and the	
2301420	2309180	former acting director. Before moving to the further modifications that I	
2309180	2312900	will request, I wish to acknowledge the involvement and interest of the mayor and	
2312900	2317060	councillors in the concerns of residents and the willingness of the	
2317060	2321260	new director and former acting director to listen and absorb resident feedback	
2321260	2325900	that has been fed into the proposal, proposed modifications recommended by	
2325900	2331060	the local traffic committee. Further, it was a welcome move by council engaging	
2331060	2334460	the professional experts. Mr Butler, I'm nearly finished, I'll give you an extension.	
2334460	2337660	Could I have an extension? No, put it in the move in a second and I'll put it all those	
2337660	2342460	in the face, say aye. The ayes have it. Engaging the professional, engaging the	
2342460	2346500	professional experts, McLaren traffic engineering who identified and confirmed	
2346500	2351100	the residents fears relating to safety in Heath Street that has prompted the now	
2351100	2357080	proposed modifications. Also, residents are awaiting the Timbrel Park parking	
2357080	2360340	and pedestrian study. This leads me to the matters to which I request	
2360340	2365220	councillors give further consideration. The issue of the availability of	
2365220	2369220	parking brought into focus by implementation of the cycleway has not	
2369220	2372980	been satisfactorily resolved and it appears it will continue to be a	
2372980	2376900	significant inconvenience and source of anxiety for residents in Heath Street	
2376900	2382580	and nearby. Currently the cycleway features island refuges in Heath Street	
2382580	2387180	Henley Marine Drive that many have described as gross over-engineering and	
2387180	2392340	a very clumsy solution to the impracticability of routing the cycleway	
2392340	2396820	via Heath Street and Timbrel Park. These refuges have brought about the removal	
2396820	2400700	of a number of parking spots creating parking pressure that becomes all too	
2400700	2404420	obvious when there's a sporting events or other activities in Timbrel Park or	
2404420	2408320	people are parked so as to complete a circuit of the bay run. In addition,	
2408320	2411500	residents who have lived in the area for many years can no longer freely park	
2411500	2415420	their cars close to their properties as has been their habit without risking	
2415420	2419620	penalty resulting in a situation often where there's no available parking spaces	
2419620	2424420	in close proximity. It is claimed by council that the refuges islands are in the	
2424420	2429400	necessary safety feature of the cycleway and they may well be that if they were	
2429400	2433900	used. For cyclists the refuges represent a roundabout means to traverse from	
2433900	2438220	Heath Street across Henley Marine Drive and vice versa. While for pedestrians	
2438220	2442020	there has never been and there still isn't any difficulty to cross safely	
2442020	2446180	either Heath Street or Henley Marine Drive. Any casual observation verifies	
2446180	2449540	that cyclists do not use the refuges travelling either north or south and	
2449540	2453700	pedestrians will cross the roads as they please and not divert their journey to	
2453700	2457940	use the refuge islands. At the moment it appears an intent of the refuge	
2457940	2461940	islands to remain on the very speculative belief that cyclists and	
2461940	2465460	pedestrians will use them in due course without any evidence to support that	
2465460	2469700	supposition. Meanwhile local residents will continue to be unnecessarily	
2469700	2473260	deprived of a degree of convenience for their daily lives and potentially the	
2473260	2479580	islands will be in place virtually forever never been used. So my request to	
2479580	2482740	councils to address the significant parking problems that exist in Heath	
2482740	2486820	Street and surrounding areas is the refuge islands being removed. Should the	
2486820	2491300	cycleway using Heath Street actually ever attract critical mass which many doubt	
2491300	2495940	then perhaps a need may arise for some reassessment. Council is further	
2495940	2499580	requested to consider that certain areas be made available for resident parking	
2499580	2503460	only to affect some balance in the uses of the diminished availability of on	
2503460	2508620	street parking. The fact that council has a commissioned a specific study to look	
2508620	2512060	at parking and pedestrians in the context of Tintrell Park demonstrates	
2512060	2516020	that resident concerns in relation to parking have been recognized as genuine	
2516020	2520940	and substantial. Removal of the island refuges and and or dedicated resident	
2520940	2525500	parking spaces are practical and realistic solutions to a situation that	
2525500	2530740	has developed over time exacerbated and emphasized by the by the cycleway in	
2530740	2535260	Heath Street. I'm looking for your support councils and thanks for the time.	
2535260	2547540	Thank you. And I think that that you referred to a traffic and pedestrian	
2547540	2553780	study that is occurring also a plan of management for Tintrell Park so they all	
2553780	2561220	into we've together to consider the options that may improve the parking and	
2561220	2567700	speeding and so forth the around that area but thank you Mr. Butler can I ask	
2567700	2580060	Maria Capesio to come up please. Thank you Mr. Mayor and councillors I don't have a	
